id,comment,food,drink,price,staff,service,space,hygiene
64,nhóm mình người nên thử được khá nhiều món nước ở đây uống cũng khá và giá_cả trung_bình là giá_cả cho một ly nước bánh honey toast của họ rất ngon còn tiramisu thì giống như là kết_hợp của bánh bánh với cà_phê và chocolate quán khá thoáng và đẹp có_điều chờ hơi lâu tí gần cho tất_cả các món hình dưới là ly nước của mình uống khá,1,1,1,0,0,1,0
65,quán mới chuyển địa_điểm có không_gian rộng hơn mình đến đúng hôm khai_trương nên quán rất đông khách nhưng nhân_viên pha đồ rất nhanh không phải đợi lâu đâu về chất_lượng đồ uống efoc pha rất ngon mình thích nhất là late hazelnut và trà đào miếng đào ở đây to lắm luôn cắn muốn đã miệng luôn,0,1,0,1,0,1,0
66,hj mặc_dù đi uống lâu rồi nhg vẫn sẽ đánh_giá về quán từ việc gửi xe cũng thấy bác bảo_vệ rất đáng mến nhiệt_tình chỉnh xe giúp mình chị nhân_viên khá niềm_nở nhẹ_nhàng đồ uống và bánh cũng ngon chỉ là có vẻ nhiều kem nên hơi ngán không_gian cũng khá thoáng mát lúc về b mình có chẳng may làm rơi vỡ cốc nhg chị nhân_viên nhanh_chóng lấy xẻng và chổi để lau dọn ngay không trách_mắng j b mình cũng không bắt_đền j mà chỉ nhẹ_nhàng bảo b mình cứ để yên chị ấy sẽ dọn nói_chung là sẽ ủng_hộ quán nhiều,0,1,0,1,1,1,0
67,gửi xe ở bên cạnh không_gian siêu siêu đẹp và nhân_viên cũng rất thân_thiện đồ uống tuy không bắt_mắt nhưng khá ngon giá_cả vừa_phải,0,1,1,1,1,1,0
68,quán cafe nằm ngay trung_tâm thành_phố nhìn bên ngoài nhỏ_xíu vậy mà lên tầng view chính của quán rộng_rãi mà đẹp lắm nhé quán từ đầu hướng chủ_yếu là nước uống_vậy nên phong_cách trang_trí cũng đậm chất nhật coi đã mắt và đáng yêu cực_kỳ tớ gọi trà hoa qủa thấy hơi ngọt chút còn bánh toast chocolate thơm và ngon cực_kỳ nhé các món khác toy chưa thử nhưng thấy mấy đứa bạn cũng khen khá ổn đó giá tương_đương với mặt_bằng chung mà view lại siêu đẹp nên sẽ quay lại dài_dài,1,1,1,0,0,1,0
69,quán nhỏ xinh nằm ngay góc đường trường_chinh phường mình ngồi ngoài cho thoáng vì trong nhà_hơi tối menu của quán cũng chỉ gồm những món mình gọi sữa đá_chanh espreco cà_phê sữa đá sữa đá_chanh khá ổn cà_phê sữa đá hơi đắng nhưng mình thấy trong quán có máy rang xay cà_phê luôn nên chắc đây là cà_phê nguyên_chất giá_cả khá hợp_lí từ giá_cả đến giá_cả phục_vụ nhanh_nhẹn dễ_thương,0,1,1,0,1,0,
70,vẫn là mình cùng với những ly sữa_chua nếp_cẩm quán ngồi ngoài có muỗi nhưng rẻ hơn ngồi trong chút với cả thoáng hơn nữa tóm lại mấy chế cứ ghé quán trên lầu có phòng chơi cho cả trẻ_em,0,1,0,0,1,1,0
71,không_gian đẹp đồ uống ngon phục_vụ tận_tình chu_đáo từ khi vô đến lấy xe ra về giá_cả so với chất_lượng thì ổn rất hài_lòng,0,1,1,1,0,0,0
72,cũng đi thử efoc như_ai đến ngay hôm đầu quán khai_trương nên đông lắm luôn nhưng phục_vụ cũng nhanh không phải ngồi đợi lâu lắm đồ uống quán pha_chế ổn cafe thơm yogurt thì ngọt dịu chứ không bị ngọt khé mấy loại trà thì uống man_mát thêm miếng đào hoặc mấy qủa vải nên mình cũng khá ưng loại cokies uống ngon và mình thấy ưng loại này nhất giá_cả thì dao_động từ giá_cả tuỳ từng loại và tuỳ theo size không_gian quán tầng thì hơi hẹp nhưng lên trên tầng thì lại khá rộng_rãi thoáng mát mà trang_trí lại còn bắt_mắt chắc_chắn sẽ quay lại quán những lần sau,0,1,1,1,0,1,0
73,lâu_lâu lại quay lại quán hôm_nay mình chọn nước uống trân_châu đen với một đĩa bánh ngọt đồ uống khá ngon không bị ngọt khé cổ giống những quán khác lớp kem mặn mặn ngậy ngậy ăn_không bị ngán cơ_mà trân chân quán làm hơi bị dính không được tách rời ra nên phải lấy thìa để xúc ăn bánh làm ngon mềm vị sôcla với hình_như một lớp kem lạnh phủ lên trên ăn cũng khá hợp miệng không_gian quán vẫn được cho điểm cộng khá rộng_rãi sáng_sủa trang_trí lại bắt_mắt nên tha_hồ check in sẽ quay lại quán,1,1,0,0,0,1,0
74,mình lại ghé quán vào ngày rảnh_rỗi quán hoàn_toàn chinh_phục mình và bạn ở mọi khía_cạnh nhà vệ_sinh sạch cực hiếm có quán cafe nào được như_vậy lắm còn nước thì sau lần mình thấy nên uống trà ở đây vì trà pha thanh nhẹ không ngọt gắt còn whiping thì hơi bị ngọt không_gian rộng lại nhiều sofa dọn_dẹp gọn_gàng phần ngoài phòng lạnh trên lầu đang được tu_sửa,0,1,0,0,1,1,1
75,ghé qua vũng_tàu kiếm ly cà_phê để tỉnh_táo chạy về xì gòn thấy trên fody quán được điểm_cao nên quẹo lựa ly cà_phê tỉnh_táo cà_phê ngon vậy thôi đó,0,1,0,0,0,0,0
76,lần đầu đi chơi ghé đây cafe siêu sang chảnh luôn nhìn đẹp lắm mỗi chỗ ngồi tầm người kiểu sofa tròn rồi có màn che bằng hạt lấp_lánh nữa buổi tối mà rủ màn xuống chắc sang dữ lắm è không_gian cafe không chỉ trong nhà mà bên ngoài sân vườn cũng sang chảnh không kém có dịp sẽ quay lại hôm ghé không có chương_trình gì hấp_dẫn ngoài giá nước rẻ nghe nói có bufet bánh ngọt nữa mà bữa đi không có diễn ra với đi trong ngày khu dejavu này chưa có chỗ cho khách nghỉ lại,1,1,1,0,0,1,0
77,nay địa_chỉ này đổi thành cafe hoa sữa rồi ạ không_gian thoải_mái ngồi trao_đổi công_việc thức uống ngon giá_cả hợp_lý cao hơn quán_cóc đ món,0,1,1,0,0,1,0
78,được hôm cuối tuần rãnh nên rủ vài đứa bạn chạy xuống trà vinh chơi nghe nói có khu deja vu khá nổi_tiếng nên cũng đi thử cho biết với người_ta vào đây mình gọi ly cà_phê sứa ly yaourt phúc_bồn tử và ly chocolate đá xây theo mình cảm_nhận thì nước uống của quán khá là ngon và vừa_miệng cà_phê pha phin để sữa vừa phải uống rất ổn yaourt phúc_bồn tử rất thơm quán cực_kỳ sang_trọng và đẹp giá_cả ổn không đắt lắm nhân_viên thân_thiện nhiệt_tình,0,1,1,1,0,1,0
79,thêm quán mới mở đi hôm tết nên đồ uống với đồ ăn đều tăng_giá nhưng tăng ít thôi giá cả bánh ở đây chỉ có mỗi loại tiramisu mình đi người mà quán chỉ còn có mỗi cái bánh phải chia nhau đồ uống của quán khá ổn cơ_mà hơi bị ít nước uống có mỗi nửa lọ hút mỗi cái là hết ấy quán đối_diện chỗ lẩu nướng nên nếu ngồi bên ngoài thì toàn phải ngửi mùi khói ngồi bên trong thì vừa nóng vừa bí đề_nghị quán cho thêm tí điều_hoà,1,1,1,0,1,1,0
80,chỗ này phải nói trà sữa quá tuyệt_vời lại có thêm váng sữa vừa béo vừa thơm có nhiều món phong_phú đặc_biệt có nhiều loại trà lạ minh thich nhat la trà cỏ hoàng_gia giá mềm và có không_gian cực col chắc_chắn minh sẽ ghé quán thường_xuyên,0,1,1,0,0,1,0
81,vị_trí trung_tâm lagi không_gian thoáng rộng trang_trí ánh_sáng là chủ_yếu chất luợng đồ uống cũng ngon giá_cả mềm lâu rồi mới thấy cái menu với con_số như_vậy ở quán cafe có không_gian như_vậy hầu_như là duới giá_cả cho điểm phục_vụ hơi lâu,0,0,1,1,0,1,0
82,lần đầu uống mocha cảm_nhận là thật nhạt_nhẽo uống thử cho biết chứ sau_này xin thôi ạ không_gian khá ổn nhưng không có nhạc nhẽo gì ngồi không có cảm_giác hơi tù tù đồ uống bạn t hầu_hết uống smothie thì ổn chỉ mình mình chán có cái gói hướng_dương ghi trong thực_đơn là giá_cả mà thanh_toán giá_cả ạ chị thu_ngân thì bảo là các nhân_viên khi khách gọi đều thông_báo nhưng t có thấy nói gì đâu may mà chỉ gọi gói,1,1,1,1,1,1,0
83,quán dễ tìm đi qua cầu mới rẽ xuống là thấy ngay tại nguyễn_du quán có phong_cách độc đẹp và lạ đồ ăn ngon phù_hợp túi_tiền sinh_viên học_sinh đồng uống thì mình thấy cũng được cái là uống ngon hơn các quán khác mình uống một_chút nhân_viên phục_vụ nhanh_nhẹn nhiệt_tình cởi_mở hoà_đồng và chu_đáo với khách được cái em pha_chế rất đẹp_trai và hiền_lành chủ quán vui_tính khách góp_ý cái gì là tiếp_thu luôn nói_chung là ai lên lạng sơn lên ghé vào một lần để cho biết,1,1,1,1,0,1,0
84,quán này nổi_tiếng xưa giờ ở phan_rang rồi nè không_gian được cái rộng_rãi mát_mẻ lắm rất thoáng và có nhiều cây_xanh quán thường đông vào nhày nghỉ còn những ngày thường thì không đông lắm đâu ngoài những không_gian sân vườn thì còn có phòng lạnh nữa tuy_nhiên phòng lạnh thì hơi chật đó dù không_gian rộng nhưng không có bàn cho nhóm trên người đâu nha quán có bãi đậu xe ô_tô nha ở đây chỉ có cafe và các loại nước cơ_bản thôi à còn không có các loại nước pha_chế cầu_kì đâu nha quán phục_vụ cho lứa tuổi lớn chững_chạc nên nhạc chỉ có nhạc_nhẹ thôi rất thoải_mái,0,1,0,0,1,1,0
85,lần thứ đến đây sau hơn năm thấy bất_ngờ vì sự tiến_bộ của quán từ bài_trí cho đến chất_lượng đồ uống trang_trí đẹp không_gian khá rộng giờ cao_điểm đi qua thấy luôn đông khách mình gọi nước uống việt_quất và nước uống thơm ngon nhưng hơi ngọt giá_cả rẻ hơn chút so với mặt_bằng chung các quán cafe có cô tầm trung tuổi không biết có phải chủ không siêu dễ_chịu niềm_nở nhiệt_tình thích ghê còn mấy bạn nhân_viên nam thì cũng tạm ổn tuy_nhiên hôm mình đến là buổi sáng chưa có khách mình chọn ngồi tầng cô bảo bạn nam là bạn dẫn khách lên tầng rồi bật quạt chuẩn_bị các thứ đi nh mà chả bạn nào lên cũng may công_tắc quạt lù_lù hiện ra nên mình tự_túc ổn ngoài ra quán còn có hay phòng xem phim và phòng kết_hợp xem phim và karaoke cách_âm không tốt lắm xem phim mà nghe tiếng karaoke vẫn rõ phòng xem phim bố_trí không hợp_lí lắm xem phim xong mà mỏi cổ như xem phim tại rạp mà ngồi hàng ghế đầu_tiên vậy điểm cộng là phim thì cũng update các phim mới nhất có_thể xem thêm,1,1,0,1,1,1,0
86,trước thích uống joy lắm mà ngại vô quán vì khá chật_chội giờ cao_điểm không có cả chỗ ngồi thèm uống thì chỉ mua về thôi giờ joy mở thêm chi_nhánh ở trần_hưng đạo quán rộng_rãi thoáng mát view đẹp thích_hợp để tụ_họp sẽ ghé joy thường_xuyên,0,0,0,0,0,1,0
87,cofe bean mới đưa vào kiểu trà sữa in hình bắt mốt ghê_gớm bạn chọn vị trà bất_kỳ và thêm toping kem mặn hoặc kem chese là đều có_thể in hình để in hình nên lớp kem dày hơn mình thấy hơi ngán à hình_như in hình lên trà sữa mất phí nhé mình thấy đắt hơn mọi khi uống à hôm mình đến thì bên máy_in bị hỏng nên màu mới không được đẹp là đủ màu_sắc nha hôm_nay mới thử piza của quán đế bánh giòn mỏng vị tạm ổn giá_cả cho size m có miếng nhé,1,1,1,0,0,0,0
88,quán này rất phù_hợp cho học_sinh sinh_viên không_gian đơn_giản thoáng mát quán ban_ngày khá vắng và yên_tĩnh buổi tối chưa ra nên chưa biết gần trường nguyễn_huệ khá dễ tìm nhân_viên thân_thiện dễ gần thoải_mái đồ uống giá mềm giá_cả đồ ăn cho ten khá phong_phú giá cũng rẻ mình gọi bạc sỉu vị khá hợp_ý mình nc nếu để mình ngồi thì cắm từ sáng tới tối ở đây cũng đc,1,1,1,1,0,1,0
89,ần đầu_tiên đến nhân_viên rất lịch_sự vào thì không_gian rất thoáng và đẹp đồ uống phải_chăng mà cũng ngon điểm nhé,0,1,0,1,0,1,0
90,chờ bạn nên ghé vào highlands ngọc_khánh lần đầu không_gian quán khá sang cảm_giác ấm_cúng nữa list nhạc hay các bạn ạ ngồi cả buổi nghe toàn bài mình thích thui đồ uống thì cũng như các quán khác cùng hệ_thống vẫn ngon nước uống miễn phíze uống vào lắm có thạch to nhưng giòn giòn ăn bao phê lớp kem ở trên béo nhiều người bảo béo nhưng mà mình ăn hợp lại thấy ngon cực ạ quán có cả bánh_mì và bánh ngọt nữa nhưng chưa thử lượng khách ở đây mình thấy ổn không đông lắm cứ bình bình thôi mình ngồi hôm_nay thấy nhiều người làm văn_phòng hơn là sinh_viên như mình giá_cả trung_bình phù_hợp với chất_lượng đồ uống vị_trí nằm trên đường ngọc_khánh đoạn gần giảng võ_dưới chân toà rose garden gửi xe ở khe hẹp cạnh quán không mất phí nhân_viên lịch_sự xem thêm,1,1,1,1,1,1,0
91,quán nhỏ nằm trên đường thái hà khá dễ tìm nhé không_gian thì tuyệt_vời luôn ánh_sáng rực_rỡ chụp ảnh sống ảo xịn lắm mỗi_tội quán khá nhỏ không thích_hợp đi nhóm lắm bánh và nước ở đây cũng ngon lắm tớ gọi bánh milo và thai nước uống thích bánh_thai hơn vì nó ngon và sốt tuyệt lắm ý còn bánh milo thì cốt bánh hơi khô được cái sốt cứu_vớt tình_hình trà thảo_mộc uống hợp với bánh lắm làm mình đỡ ngấy hẳn giá bánh với nước thì hơi đắt với mình thôi nhưng đi hai ba người chia ra là ổn slice mà to lắm ý bọn mình đi ba người mà phải đưa_đẩy mãi mới xong hết hai slice bánh ý mình chưa thử thêm các vị khác nhưng chất_lượng đúng là rất tốt mà mình thích trà dâu lắm vị chua chua nguyên_chất cực_kỳ ý chứ không bị ngọt hoá_học đâu ạ với một đứa cuồng dâu_tây như mình thì điểm cho chất_lượng luôn ăn kèm với bánh cực hợp nói_chung là đáng thử lắm xem thêm,1,1,1,0,0,1,0
92,four of went here the place was nice and very intimate that time great ambiance and nước uống s staf is friendly and knows their boze batenders are hapy to guide you to the best nước uống for your palate the experience was nice and would love to make another visit 🎉 ️ lều cofe lều bar nd no ta hien,0,0,0,0,0,0,0
93,we had a wonderful time here came around am on a friday night when we got there the manager was a friendly and funy the batender is so col and beautiful we love ber hanoi and ber saigon manager is so cute and col ️ lều cofe lều bar nd no tạ hiện str,0,0,0,0,0,0,0
94,view đẹp đến đây mình chỉ thích ngồi tầng chỗ cửa_sổ nhìn thẳng ra hồ mình có_thể ngôì nhìn người_ngoài đường cả ngày nhưng ngồi lâu vô_duyên lắm hôm nào đến có khách đang ngồi cũng chờ họ đi rồi mình vào ý_tưởng hay bước vào quán sẽ nhìn thấy ngay trên tường ghế bàn những gì có mặt_phẳng là chi_chít giấy note của khách dán vào ngồi đọc thấy buồn_cười phết đồ uống không có gì đặc_sắc vì địa_điểm đẹp nên giá đồ uống hơi cao mấy bạn nhân_viên nhiệt_tình vui_vẻ nói_chuyện khá vui tóm lại sẽ còn đến đây,0,1,1,1,0,1,0
95,không_gian quán đẹp yên_tĩnh vì quán không đông khách nhưng mình thích điểm này điểm trừ là nhân_viên cần nâng cao kỹ_thuật pha_chế hơn cốc trà đen đào của mình bị chua quá còn cốc trà kem chese mặn của bạn mình thì lại cho kem chese ngọt,0,1,0,1,0,1,0
96,ăn bánh phomai ở đây nhiều lắm rồi bây_giờ mới rì viu bánh ngon vc vỏ mềm ngọt vừa_phải nhân phomai ngậy ngậy để bánh lạnh chút ăn ngon nữa bánh to giá_cả thì phải hơi nhiều ruốc trên mặt nên hơi mặn mình hay gọi riêng bánh không có sốt_ruốc trên mặt à còn bánh_mì hoa_cúc thì mình không thích lắm vì so với khẩu_vị của mình bánh nhạt không được dai,1,0,1,0,0,0,0
97,quán xinh không_gian xanh và cũ_kỹ rất nhiều góc đẹp để bạn chụp ảnh đồ uống tạm ổn thử trà xanh tắc không ưng lắm,0,1,0,0,0,1,0
98,không_gian bên ngoài sân thoáng mát bên trong thì theo tông màu trắng chủ_đạo đơn_giản đồ uống tạm nhân_viên phục_vụ tốt,0,1,0,1,0,1,0
99,quán này cũng sang chảnh lắm nè lại nằm ngay tuyến đường trung_tâm đắc_địa bậc nhất cần_thơ nữa quán có nhiều không_gian nhưng mình thích ngồi trong phòng lạnh để làm_việc hơn là ngồi ngoài sân vườn trên đường vào phòng lạnh có mấy hồ cá nữa mô_phỏng mấy tiểu_cảnh nhìn thoải_mái lắm nhân_viên lịch_sự nhanh_nhẹn bãi xe cũng có người dắt xe luôn đồ uống theo mình thấy chỉ ở mức khá thôi lần trước thử cà_phê rồi lần này uống cà_phê sữa cũng không đặc_biệt lắm sữa hơi ít nên còn khá đắng nữa,0,1,0,1,1,1,0
100,view đẹp trà sữa vị ngon vừa uống không_gian thích_hợp cho họp nhóm họp lớp sẽ ghé ủng_hộ dài_dài,0,1,0,0,0,1,0
101,cuối tuần chỉ muốn mình đi trốn đến những nơi không xô_bồ giữa lòng_thành_phố như vầy quán nằn trốn ở nơi khá yên_tĩnh trang_trí kiểu vintage bắt_mắt nvien phục_vụ cư tê đáng yêu mình đặt_hàng ly chanh dây thức uống ưa_thích cảm_thấy hài_lòng giá_cả đúng với số_lượng và chất_lượng điểm trừ duy_nhất là ly big zise quá làm mình phải ráng ná thở uống hết không thì bỏ phí thay_vì làm lượng vừa đủ để khách_hàng có_thể cảm được hết độ ngon của thức uống còn lại thì không có vde gì phải phàn_nàn chê_trách quán có biểu_diễn acoutic nên lần sau mình sẽ cầm guitar đến trốn để thả thính,0,1,1,1,1,1,0
102,trà sữa o cha yogust vị đào ngon cực phục_vụ dễ_thương cực nha,0,1,0,1,0,0,0
103,đồ uống mình gọi trà sữa bo và trà sữa hai ngăn trà sữa không ngọt đậm vị trà nhiều vị đắng trân_châu nhiều nói_chung không đặc_sắc lắm bánh kiểu kiểu na_ná bánh na_ná bánh bánh á không mềm mượt nói_chung là trà sữa thường thường không_gian không_gian quá khá ổn rộng_rãi mát_mẻ máy_lạnh chạy vù vù thích_hợp mang lap ra học nhóm hay làm_việc nhân_viên giá_cả hơi cao so với chất_lượng đồ uống nhưng bù lại phần không_gian p_s không hiểu sao mình với hai đứa bạn uống trà sữa xong hồi cảm_thấy chóng_mặt khó_chịu bạn mình bảo chắc say trà không biết thiệt hay giỡn cũng có_thể không phải do trà sữa mà do ba đứa không khoẻ,0,1,1,1,1,1,0
104,mình đến chese tại sư vạn hạnh khá nhiều lần và mình chỉ uống món duy_nhất blue on top nhưng lần gần nhất mình ghé đến nhân_viên ord đều nói với mình câu là blue on top hết lần thứ nhân_viên ord bảo mình blue on top hết_mình ổn chuyển sang trà đào và người tiếp_theo thì ord có vì đã in bil nên mình cũng không muốn làm_khó làm dễ nhân_viên ord làm gì nếu thực_sự hết người sau mình ord lại có và ly trà đào mình uống có mùi đào úng và thực_sự rất dở kiểu như đã làm sẵn bị hố rồi ép khách_hàng vậy và sau khi đã có người nhận ly trà đào đấy thì thoải_mái bán lại món kia lần thứ mình đến cùng bạn mình ord blue on top với trà dưa lưới bạn cashier vẫn bảo mình blue on top hết thì bất_chợt bạn trong quầy quay sang bảo bạn ấy ủa blue vẫn còn mà chị thì bạn cashier này quay sang nhăn với bạn đấy bạn kia im mình không hiểu tình_hình lúc đấy là gì nhưng ly trà dưa lưới mang ra thực_sự rất đắng chát và rất ngọt mình đến quán rất nhiều lần nhưng lần gần đây thực_sự rất tệ mình phải uống nước mình không thích đã đành mà phải_chi nước đấy ngon cũng đỡ ngoài cái đấy ra thì nhân_viên đều rất thân_thiện bảo_vệ dễ_thương không_gian quán rất tuyệt,0,1,0,1,0,1,0
105,mình ghé quán vào buổi tối quán khá đông nhưng vẫn còn chỗ mình đi xe_máy phải gửi xe và nhân_viên bảo_vệ đem xe đi qua bãi khác gần đó tí nữa lúc về phải đợi người_ta lấy xe về quán bày trí đẹp gồm tầng tầng trệt và tầng trên nhưng tầng khá nóng nên mình không ngồi quán trang_trí khá xinh nhìn vintage và thích_hợp chụp choẹt sống ảo về món ăn thì quán bán các loại toast bingsu hay còn gọi là kakigori và các loại nước trà sữa mình đi người gọi phần toast phô_mai phần caramel bánh kakigori li cokie đá xay và li nước uống đá xay tổng_số tiền của chầu này là gần giá_cả toast phô_mai đó là toast mặn phô_mai ăn khá ngon nhưng bánh_mì hơi khó cắt chấm bánh_mì với phô_mai_ăn tuyệt vô_cùng phần kakigori thì cũng rất ngon không quá ngọt nói_chung người_ăn phần này thì no ngất,1,1,1,0,1,1,0
